log_date,sleep_hours,focus_hours,planned_tasks,completed_tasks,energy,mood,stress,exercise_minutes,water_intake,recreational_screen_time,flow_state,completion_rate,recovery_score,capacity_score,focus_investment_score,execution_score,productivity_score,sustainability_score,flowstate_index,performance_label,notes,year,quarter,month,month_name,week,day,weekday,is_weekend,task_gap,task_completion_flag,focus_screen_ratio,focus_per_task,screen_per_task,exercise_per_task,sleep_target_met,hydration_target_met,exercise_target_met,deep_focus_day,high_stress_day,high_energy_day,good_mood_day,flow_day,flowstate_index_7d_avg,flowstate_index_30d_avg,productivity_score_7d_avg,productivity_score_30d_avg,recovery_score_7d_avg,recovery_score_30d_avg,capacity_score_7d_avg,capacity_score_30d_avg,execution_score_7d_avg,execution_score_30d_avg,focus_investment_score_7d_avg,focus_investment_score_30d_avg,sleep_hours_7d_avg,sleep_hours_30d_avg,focus_hours_7d_avg,focus_hours_30d_avg,completed_tasks_7d_avg,completed_tasks_30d_avg
2026-07-06,7.3,6.5,7,5,5,10,7,19,3.1,1.9,1,71.4,67.8,66.4,81.2,74.3,73.8,71.6,72.3,Good,Generated sample data,2026,3,7,July,28,6,Monday,0,2,0,3.4210526315789473,1.3,0.38,3.8,1,1,0,1,0,0,1,1,72.3,72.3,73.8,73.8,67.8,67.8,66.4,66.4,74.3,74.3,81.2,81.2,7.3,7.3,6.5,6.5,5.0,5.0
2026-07-07,7.4,3.6,8,6,8,9,2,69,2.1,2.9,0,75.0,90.8,86.9,37.8,63.8,64.5,85.6,72.1,Good,Generated sample data,2026,3,7,July,28,7,Tuesday,0,2,0,1.2413793103448276,0.6,0.48333333333333334,11.5,1,0,1,0,0,1,1,0,72.19999999999999,72.19999999999999,69.15,69.15,79.3,79.3,76.65,76.65,69.05,69.05,59.5,59.5,7.35,7.35,5.05,5.05,5.5,5.5
2026-07-08,7.9,7.0,9,6,9,7,3,24,3.4,4.0,0,66.7,84.5,84.2,55.0,63.2,66.2,87.0,74.3,Good,Generated sample data,2026,3,7,July,28,8,Wednesday,0,3,0,1.75,1.1666666666666667,0.6666666666666666,4.0,1,1,0,1,0,1,0,0,72.89999999999999,72.89999999999999,68.16666666666667,68.16666666666667,81.03333333333333,81.03333333333333,79.16666666666667,79.16666666666667,67.10000000000001,67.10000000000001,58.0,58.0,7.533333333333334,7.533333333333334,5.7,5.7,5.666666666666667,5.666666666666667
2026-07-09,6.1,5.4,8,8,9,9,2,72,2.9,6.1,1,100.0,86.2,88.1,66.0,89.8,85.9,87.1,82.6,Excellent,Generated sample data,2026,3,7,July,28,9,Thursday,0,0,1,0.8852459016393444,0.675,0.7625,9.0,0,0,1,1,0,1,1,1,75.32499999999999,75.32499999999999,72.6,72.6,82.325,82.325,81.4,81.4,72.775,72.775,60.0,60.0,7.175,7.175,5.625,5.625,6.25,6.25
2026-07-10,6.0,7.0,5,3,10,6,9,70,3.3,4.2,1,60.0,66.5,77.2,75.5,64.7,68.8,69.0,71.4,Good,Generated sample data,2026,3,7,July,28,10,Friday,0,2,0,1.6666666666666665,2.3333333333333335,1.4000000000000001,23.333333333333332,0,1,1,1,1,1,0,1,74.53999999999999,74.53999999999999,71.84,71.84,79.16,79.16,80.56,80.56,71.16,71.16,63.1,63.1,6.94,6.94,5.9,5.9,5.6,5.6
2026-07-11,5.8,6.0,10,9,8,8,2,15,3.6,4.1,0,90.0,71.5,75.8,54.8,79.4,75.0,77.6,70.8,Good,Generated sample data,2026,3,7,July,28,11,Saturday,1,1,0,1.4634146341463417,0.6666666666666666,0.4555555555555555,1.6666666666666667,0,1,0,1,0,1,1,0,73.91666666666667,73.91666666666667,72.36666666666666,72.36666666666666,77.88333333333334,77.88333333333334,79.76666666666667,79.76666666666667,72.53333333333333,72.53333333333333,61.71666666666667,61.71666666666667,6.75,6.75,5.916666666666667,5.916666666666667,6.166666666666667,6.166666666666667
2026-07-12,7.3,5.6,9,3,10,6,9,45,3.2,3.8,0,33.3,73.8,80.9,52.2,39.0,49.4,73.7,64.8,Good,Generated sample data,2026,3,7,July,28,12,Sunday,1,6,0,1.4736842105263157,1.8666666666666665,1.2666666666666666,15.0,1,1,1,1,1,1,0,0,72.61428571428571,72.61428571428571,69.08571428571429,69.08571428571429,77.3,77.3,79.92857142857143,79.92857142857143,67.74285714285715,67.74285714285715,60.357142857142854,60.357142857142854,6.828571428571428,6.828571428571428,5.871428571428572,5.871428571428572,5.714285714285714,5.714285714285714
2026-07-13,8.3,5.7,10,10,10,4,7,31,1.8,5.2,1,100.0,73.1,77.5,70.5,91.2,85.4,73.9,76.7,Excellent,Generated sample data,2026,3,7,July,29,13,Monday,0,0,1,1.0961538461538463,0.5700000000000001,0.52,3.1,1,0,0,1,0,1,0,1,73.24285714285713,73.125,70.74285714285715,71.125,78.05714285714285,76.775,81.51428571428572,79.625,70.15714285714286,70.675,58.82857142857143,61.625,6.971428571428572,7.0125,5.757142857142857,5.85,6.428571428571429,6.25
2026-07-14,6.4,2.5,7,6,4,6,9,85,4.2,3.1,1,85.7,68.8,57.4,49.1,74.7,67.4,62.0,61.2,Good,Generated sample data,2026,3,7,July,29,14,Tuesday,0,1,0,0.8064516129032258,0.4166666666666667,0.5166666666666667,14.166666666666666,0,1,1,0,1,0,0,1,71.68571428571428,71.80000000000001,71.15714285714286,70.71111111111111,74.91428571428571,75.88888888888889,77.3,77.15555555555555,71.71428571428572,71.12222222222222,60.44285714285714,60.233333333333334,6.828571428571428,6.944444444444445,5.6,5.477777777777778,6.428571428571429,6.222222222222222
2026-07-15,6.5,5.6,7,7,8,8,7,81,4.5,4.1,1,100.0,74.9,77.5,72.4,91.7,86.0,75.8,77.8,Excellent,Generated sample data,2026,3,7,July,29,15,Wednesday,0,0,1,1.3658536585365855,0.7999999999999999,0.5857142857142856,11.571428571428571,0,1,1,1,0,1,1,1,72.18571428571428,72.4,73.98571428571428,72.24,73.54285714285716,75.78999999999999,76.34285714285714,77.19,75.78571428571429,73.17999999999999,62.92857142857143,61.45,6.628571428571428,6.9,5.3999999999999995,5.49,6.571428571428571,6.3
